ID   Inicio       Fim          Dias_Tempestade   Duracao_Total_Janela   Criterio
1    06/07/2016   09/07/2016   2                 4                      Margem +-1 dia
2    02/08/2016   05/08/2016   2                 4                      Margem +-1 dia
3    01/09/2016   05/09/2016   5                 5                      Longo
4    28/09/2016   02/10/2016   5                 5                      Longo
5    24/10/2016   30/10/2016   7                 7                      Longo
6    11/11/2016   14/11/2016   2                 4                      Margem +-1 dia
7    23/11/2016   26/11/2016   2                 4                      Margem +-1 dia
8    07/12/2016   10/12/2016   2                 4                      Margem +-1 dia
9    20/12/2016   24/12/2016   3                 5                      Margem +-1 dia
10   24/12/2016   27/12/2016   2                 4                      Margem +-1 dia
11   06/01/2017   09/01/2017   2                 4                      Margem +-1 dia
12   31/01/2017   03/02/2017   4                 4                      Longo
13   01/03/2017   06/03/2017   6                 6                      Longo
14   20/03/2017   23/03/2017   2                 4                      Margem +-1 dia
15   27/03/2017   31/03/2017   5                 5                      Longo
16   21/04/2017   25/04/2017   3                 5                      Margem +-1 dia
17   26/05/2017   29/05/2017   4                 4                      Manual: Evento de interesse (Maio/2017)
18   15/07/2017   18/07/2017   2                 4                      Margem +-1 dia
19   11/10/2017   15/10/2017   5                 5                      Longo
