YYYY DOY HR MN      1
2016 272  0  0   4.333
2016 272  3  0   4.667
2016 272  6  0   3.000
2016 272  9  0   4.333
2016 272 12  0   4.000
2016 272 15  0   5.000
2016 272 18  0   5.667
2016 272 21  0   4.333
2016 273  0  0   3.667
2016 273  3  0   4.667
2016 273  6  0   5.333
2016 273  9  0   5.000
2016 273 12  0   4.000
2016 273 15  0   5.000
2016 273 18  0   4.333
2016 273 21  0   3.000
2016 274  0  0   4.000
2016 274  3  0   3.667
2016 274  6  0   3.333
2016 274  9  0   3.333
2016 274 12  0   2.333
2016 274 15  0   3.000
2016 274 18  0   5.000
2016 274 21  0   2.000
2016 275  0  0   3.000
2016 275  3  0   4.000
2016 275  6  0   2.333
2016 275  9  0   2.667
2016 275 12  0   2.000
2016 275 15  0   3.667
2016 275 18  0   4.333
2016 275 21  0   3.000
2016 276  0  0   3.333
2016 276  3  0   3.000
2016 276  6  0   2.667
2016 276  9  0   2.000
2016 276 12  0   3.333
2016 276 15  0   2.333
2016 276 18  0   4.333
2016 276 21  0   3.333
