Date,Kp_sum
2016-01-01,26.0
2016-01-02,17.666
2016-01-03,12.667
2016-01-04,9.335
2016-01-05,11.333
2016-01-06,24.333
2016-01-07,21.666999999999998
2016-01-08,14.332
2016-01-09,11.0
2016-01-10,15.666
2016-01-11,20.667
2016-01-12,21.333
2016-01-13,20.333
2016-01-14,15.334
2016-01-15,9.334
2016-01-16,4.999
2016-01-17,5.333
2016-01-18,6.667
2016-01-19,15.999
2016-01-20,28.333
2016-01-21,33.001
2016-01-22,21.999000000000002
2016-01-23,19.0
2016-01-24,16.333
2016-01-25,2.3320000000000003
2016-01-26,6.667
2016-01-27,7.333
2016-01-28,8.333
2016-01-29,4.668
2016-01-30,2.6660000000000004
2016-01-31,16.667
2016-02-01,11.666
2016-02-02,9.667
2016-02-03,15.001
2016-02-04,9.666
2016-02-05,18.999000000000002
2016-02-06,13.666
2016-02-07,14.333
2016-02-08,18.999
2016-02-09,15.333
2016-02-10,8.0
2016-02-11,16.333
2016-02-12,20.666
2016-02-13,12.668
2016-02-14,17.333000000000002
2016-02-15,17.333
2016-02-16,35.0
2016-02-17,33.667
2016-02-18,31.999000000000002
2016-02-19,24.333
2016-02-20,9.333
2016-02-21,8.002
2016-02-22,4.334
2016-02-23,9.667
2016-02-24,13.0
2016-02-25,10.335
2016-02-26,12.001
2016-02-27,5.666
2016-02-28,5.666
2016-02-29,7.333
2016-03-01,15.668
2016-03-02,12.333
2016-03-03,12.999
2016-03-04,6.667
2016-03-05,5.665
2016-03-06,24.667
2016-03-07,29.668
2016-03-08,14.0
2016-03-09,13.0
2016-03-10,14.0
2016-03-11,24.666
2016-03-12,18.0
2016-03-13,5.334
2016-03-14,16.666
2016-03-15,28.332
2016-03-16,25.000999999999998
2016-03-17,28.000999999999998
2016-03-18,15.666
2016-03-19,22.334
2016-03-20,17.334
2016-03-21,13.334
2016-03-22,11.332
2016-03-23,17.000999999999998
2016-03-24,11.667
2016-03-25,9.333
2016-03-26,3.334
2016-03-27,20.333
2016-03-28,15.668
2016-03-29,19.666
2016-03-30,19.332
2016-03-31,11.0
2016-04-01,3.666
2016-04-02,19.666
2016-04-03,21.001
2016-04-04,11.0
2016-04-05,10.333
2016-04-06,12.333
2016-04-07,18.667
2016-04-08,10.667
2016-04-09,2.666
2016-04-10,12.334
2016-04-11,8.001
2016-04-12,24.333
2016-04-13,30.334
2016-04-14,28.332
2016-04-15,13.333
2016-04-16,17.333
2016-04-17,25.334
2016-04-18,8.667
2016-04-19,2.665
2016-04-20,5.666
2016-04-21,8.333
2016-04-22,19.667
2016-04-23,17.667
2016-04-24,17.333
2016-04-25,9.667
2016-04-26,10.668
2016-04-27,17.333
2016-04-28,7.333
2016-04-29,4.333
2016-04-30,13.665
2016-05-01,22.666
2016-05-02,30.000999999999998
2016-05-03,17.666
2016-05-04,6.667
2016-05-05,12.333
2016-05-06,22.334
2016-05-07,15.667
2016-05-08,45.667
2016-05-09,30.667
2016-05-10,21.999000000000002
2016-05-11,9.998999999999999
2016-05-12,6.001
2016-05-13,12.667
2016-05-14,16.666
2016-05-15,20.667
2016-05-16,20.332
2016-05-17,21.667
2016-05-18,13.667
2016-05-19,13.667
