Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 355  0  0 9999.99 99999.9 99.99    -7
2016 355  0  1 9999.99 99999.9 99.99    -8
2016 355  0  2 9999.99 99999.9 99.99    -8
2016 355  0  3 9999.99 99999.9 99.99    -8
2016 355  0  4 9999.99 99999.9 99.99    -8
2016 355  0  5 9999.99 99999.9 99.99    -8
2016 355  0  6 9999.99 99999.9 99.99    -8
2016 355  0  7 9999.99 99999.9 99.99    -8
2016 355  0  8 9999.99 99999.9 99.99    -8
2016 355  0  9 9999.99 99999.9 99.99    -8
2016 355  0 10 9999.99 99999.9 99.99    -8
2016 355  0 11 9999.99 99999.9 99.99    -9
2016 355  0 12 9999.99 99999.9 99.99    -9
2016 355  0 13 9999.99 99999.9 99.99    -9
2016 355  0 14 9999.99 99999.9 99.99    -9
2016 355  0 15 9999.99 99999.9 99.99    -9
2016 355  0 16 9999.99 99999.9 99.99    -9
2016 355  0 17 9999.99 99999.9 99.99   -10
2016 355  0 18 9999.99 99999.9 99.99   -10
2016 355  0 19 9999.99 99999.9 99.99   -10
2016 355  0 20 9999.99 99999.9 99.99   -10
2016 355  0 21 9999.99 99999.9 99.99   -10
2016 355  0 22 9999.99 99999.9 99.99   -10
2016 355  0 23 9999.99 99999.9 99.99   -11
2016 355  0 24 9999.99 99999.9 99.99   -11
2016 355  0 25 9999.99 99999.9 99.99   -11
2016 355  0 26 9999.99 99999.9 99.99   -11
2016 355  0 27 9999.99 99999.9 99.99   -11
2016 355  0 28 9999.99 99999.9 99.99   -12
2016 355  0 29   -0.55 99999.9 99.99   -12
2016 355  0 30   -0.52 99999.9 99.99   -12
2016 355  0 31   -0.50 99999.9 99.99   -12
2016 355  0 32   -0.21   322.0  1.62   -12
2016 355  0 33   -0.10   322.0  1.62   -12
2016 355  0 34    0.38   322.0  1.62   -12
2016 355  0 35    0.58 99999.9 99.99   -12
2016 355  0 36    0.50   324.9  1.74   -12
2016 355  0 37    0.40   324.9  1.74   -12
2016 355  0 38    0.23   323.9  1.75   -12
2016 355  0 39   -0.20   323.9  1.75   -12
2016 355  0 40   -0.10   323.9  1.75   -12
2016 355  0 41   -0.21   324.1  1.65   -12
2016 355  0 42   -0.51   324.1  1.65   -12
2016 355  0 43   -0.76   323.4  1.69   -12
2016 355  0 44   -0.87   323.2  1.71   -12
2016 355  0 45   -1.21   323.2  1.71   -12
2016 355  0 46   -0.69   323.4  1.81   -12
2016 355  0 47   -0.95   323.4  1.81   -12
2016 355  0 48   -1.01 99999.9 99.99   -12
2016 355  0 49   -0.92   324.6  1.80   -12
2016 355  0 50   -0.90   324.6  1.80   -12
2016 355  0 51   -0.97   322.3  1.86   -12
2016 355  0 52   -1.27   322.3  1.86   -12
2016 355  0 53   -1.02   321.4  1.81   -12
2016 355  0 54   -0.62   320.2  1.74   -11
